[detection] The camouflaged objects.
COD10K-CAM-3-Flying-65-Owl-4586.jpg@#@<p>The camouflaged objects</p> {<13><42><29><62>}<delim>{<0><44><15><65>}<delim>{<0><87><11><100>}<delim>{<62><0><78><10>}
COD10K-CAM-2-Terrestrial-28-Deer-1762.jpg@#@<p>The camouflaged objects.</p> {<23><13><71><89>}<delim>{<0><0><100><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1505.jpg@#@<p>The camouflaged objects</p> {<2><8><14><31>}<delim>{<6><11><15><25>}<delim>{<15><9><30><46>}
COD10K-CAM-2-Terrestrial-24-Caterpillar-1655.jpg@#@<p>The camouflaged objects</p> {<13><43><88><63>}
COD10K-CAM-2-Terrestrial-46-StickInsect-2825.jpg@#@<p>The camouflaged objects</p> {<1><16><100><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2731.jpg@#@<p>The camouflaged objects</p> {<1><0><100><99>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1716.jpg@#@<p>The camouflaged objects</p> {<35><25><100><62>}<delim>{<1><2><98><100>}
COD10K-CAM-1-Aquatic-19-Stingaree-1197.jpg@#@<p>The camouflaged objects</p> {<28><31><74><65>}
COD10K-CAM-2-Terrestrial-23-Cat-1449.jpg@#@<p>The camouflaged objects</p> {<46><57><66><100>}<delim>{<38><62><65><98>}
COD10K-CAM-3-Flying-50-Bat-2968.jpg@#@<p>The camouflaged objects</p> {<8><13><60><64>}
COD10K-CAM-2-Terrestrial-45-Spider-2721.jpg@#@<p>The camouflaged objects</p> {<9><38><60><100>}<delim>{<36><0><99><100>}
COD10K-CAM-4-Amphibian-68-Toad-4853.jpg@#@<p>The camouflaged objects</p> {<14><47><50><98>}<delim>{<1><14><21><59>}<delim>{<53><0><69><14>}<delim>{<27><0><48><31>}<delim>{<63><0><92><41>}
COD10K-CAM-3-Flying-62-Mantis-4355.jpg@#@<p>The camouflaged objects</p> {<12><30><89><90>}<delim>{<57><47><87><62>}
COD10K-CAM-3-Flying-62-Mantis-4288.jpg@#@<p>The camouflaged objects</p> {<36><45><60><62>}<delim>{<1><1><100><98>}
COD10K-CAM-3-Flying-62-Mantis-4376.jpg@#@<p>The camouflaged objects</p> {<1><2><100><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1462.jpg@#@<p>The camouflaged objects</p> {<0><1><100><98>}
COD10K-CAM-2-Terrestrial-25-Centipede-1663.jpg@#@<p>The camouflaged objects</p> {<13><15><67><74>}<delim>{<0><0><99><99>}
COD10K-CAM-1-Aquatic-6-Fish-197.jpg@#@<p>The camouflaged objects</p> {<14><58><61><73>}<delim>{<0><9><99><28>}
COD10K-CAM-1-Aquatic-6-Fish-149.jpg@#@<p>The camouflaged objects</p> {<34><25><67><71>}<delim>{<1><1><99><100>}
COD10K-CAM-2-Terrestrial-28-Deer-1775.jpg@#@<p>The camouflaged objects</p> {<26><45><49><78>}<delim>{<39><30><59><49>}
COD10K-CAM-3-Flying-59-Grasshopper-3761.jpg@#@<p>The camouflaged objects</p> {<0><0><100><100>}
COD10K-CAM-4-Amphibian-67-Frog-4781.jpg@#@<p>The camouflaged objects</p> {<16><10><68><75>}
COD10K-CAM-3-Flying-53-Bird-3145.jpg@#@<p>The camouflaged objects</p> {<15><0><49><83>}<delim>{<16><17><49><41>}
COD10K-CAM-2-Terrestrial-38-Lizard-2309.jpg@#@<p>The camouflaged objects</p> {<1><0><100><99>}
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423.jpg@#@<p>The camouflaged objects</p> {<20><34><86><95>}<delim>{<12><31><72><63>}<delim>{<26><21><73><64>}
COD10K-CAM-1-Aquatic-7-Flounder-270.jpg@#@<p>The camouflaged objects</p> {<0><1><100><89>}
COD10K-CAM-2-Terrestrial-24-Caterpillar-1543.jpg@#@<p>The camouflaged objects</p> {<3><10><98><96>}
COD10K-CAM-3-Flying-59-Grasshopper-3820.jpg@#@<p>The camouflaged objects</p> {<48><23><71><61>}<delim>{<0><1><99><100>}
COD10K-CAM-2-Terrestrial-44-Snake-2448.jpg@#@<p>The camouflaged objects</p> {<1><12><99><96>}
COD10K-CAM-1-Aquatic-15-SeaHorse-1002.jpg@#@<p>The camouflaged objects</p> {<32><1><80><53>}<delim>{<62><1><82><47>}<delim>{<19><27><40><72>}
COD10K-CAM-1-Aquatic-13-Pipefish-842.jpg@#@<p>The camouflaged objects</p> {<37><28><60><100>}<delim>{<45><43><60><98>}<delim>{<61><11><75><47>}
COD10K-CAM-2-Terrestrial-24-Caterpillar-1572.jpg@#@<p>The camouflaged objects</p> {<37><0><61><89>}<delim>{<1><0><100><100>}
COD10K-CAM-1-Aquatic-6-Fish-135.jpg@#@<p>The camouflaged objects</p> {<31><36><59><52>}<delim>{<1><47><100><98>}<delim>{<50><37><60><48>}<delim>{<0><47><100><73>}
COD10K-CAM-3-Flying-53-Bird-3157.jpg@#@<p>The camouflaged objects</p> {<42><37><61><55>}<delim>{<65><40><69><49>}
COD10K-CAM-2-Terrestrial-45-Spider-2501.jpg@#@<p>The camouflaged objects</p> {<1><0><99><100>}
COD10K-CAM-2-Terrestrial-49-Worm-2929.jpg@#@<p>The camouflaged objects</p> {<10><30><42><84>}<delim>{<47><13><93><71>}
COD10K-CAM-3-Flying-65-Owl-4640.jpg@#@<p>The camouflaged objects</p> {<54><43><69><72>}<delim>{<78><28><95><55>}<delim>{<20><32><35><62>}<delim>{<94><26><100><52>}<delim>{<1><28><12><44>}
COD10K-CAM-3-Flying-55-Butterfly-3375.jpg@#@<p>The camouflaged objects</p> {<18><27><96><83>}<delim>{<34><29><90><81>}
COD10K-CAM-1-Aquatic-6-Fish-186.jpg@#@<p>The camouflaged objects</p> {<43><41><75><84>}<delim>{<2><1><98><96>}
