[detection] Polyps.
1.png@#@<p>Polyps</p> {<36><26><51><50>}<delim>{<90><37><99><48>}
10.png@#@<p>Polyps</p> {<1><39><86><96>}
100.png@#@<p>Polyps</p> {<0><37><53><98>}<delim>{<23><21><54><76>}
101.png@#@<p>Polyps</p> {<69><34><93><70>}<delim>{<26><38><46><74>}<delim>{<1><54><22><83>}<delim>{<29><33><56><64>}
102.png@#@<p>Polyps</p> {<29><30><78><84>}<delim>{<5><52><35><79>}<delim>{<61><91><80><99>}
103.png@#@<p>Polyps</p> {<2><1><96><97>}
104.png@#@<p>Polyps</p> {<24><38><43><64>}<delim>{<41><39><78><95>}<delim>{<1><34><100><50>}
105.png@#@<p>Polyps</p> {<0><10><97><98>}
106.png@#@<p>Polyps</p> {<0><1><97><98>}
107.png@#@<p>Polyps</p> {<1><2><97><98>}
108.png@#@<p>Polyps</p> {<4><43><95><96>}
109.png@#@<p>Polyps</p> {<0><0><97><98>}
11.png@#@<p>Polyps</p> {<43><27><96><96>}<delim>{<18><7><80><32>}
110.png@#@<p>Polyps</p> {<1><5><97><97>}
111.png@#@<p>Polyps</p> {<64><40><92><85>}<delim>{<33><43><47><56>}
112.png@#@<p>Polyps</p> {<6><4><95><97>}
113.png@#@<p>Polyps</p> {<3><5><97><96>}
114.png@#@<p>Polyps</p> {<6><42><35><58>}<delim>{<16><40><69><57>}<delim>{<1><41><22><56>}
115.png@#@<p>Polyps</p> {<7><43><20><59>}<delim>{<13><48><20><63>}<delim>{<43><14><95><93>}
116.png@#@<p>Polyps</p> {<4><43><17><58>}
117.png@#@<p>Polyps</p> {<7><43><50><91>}<delim>{<78><42><96><68>}
118.png@#@<p>Polyps</p> {<75><33><96><71>}<delim>{<3><53><43><70>}<delim>{<48><52><96><84>}
119.png@#@<p>Polyps</p> {<1><2><95><98>}
12.png@#@<p>Polyps</p> {<72><45><84><61>}<delim>{<11><52><30><93>}<delim>{<85><46><89><54>}
120.png@#@<p>Polyps</p> {<1><2><97><97>}
121.png@#@<p>Polyps</p> {<20><4><97><96>}
122.png@#@<p>Polyps</p> {<67><33><95><84>}<delim>{<27><1><96><96>}
123.png@#@<p>Polyps</p> {<65><17><95><84>}
124.png@#@<p>Polyps</p> {<38><56><61><70>}<delim>{<50><59><62><72>}
125.png@#@<p>Polyps</p> {<5><42><96><98>}
126.png@#@<p>Polyps</p> {<9><10><96><97>}
127.png@#@<p>Polyps</p> {<15><45><50><89>}<delim>{<62><73><89><89>}
128.png@#@<p>Polyps</p> {<74><26><93><64>}<delim>{<90><31><98><59>}<delim>{<34><38><48><57>}
129.png@#@<p>Polyps</p> {<37><26><85><81>}<delim>{<40><53><62><82>}
13.png@#@<p>Polyps</p> {<73><46><82><56>}<delim>{<10><50><28><76>}
130.png@#@<p>Polyps</p> {<41><25><86><80>}<delim>{<3><50><94><97>}
131.png@#@<p>Polyps</p> {<3><74><41><96>}<delim>{<46><19><65><30>}
132.png@#@<p>Polyps</p> {<3><60><44><98>}<delim>{<64><40><91><89>}
133.png@#@<p>Polyps</p> {<41><36><52><62>}<delim>{<68><69><78><87>}
134.png@#@<p>Polyps</p> {<71><38><94><78>}<delim>{<12><57><43><74>}<delim>{<42><34><59><60>}
135.png@#@<p>Polyps</p> {<0><2><97><98>}
136.png@#@<p>Polyps</p> {<64><51><92><88>}<delim>{<23><51><43><72>}<delim>{<86><45><94><62>}
137.png@#@<p>Polyps</p> {<1><2><97><98>}
138.png@#@<p>Polyps</p> {<1><3><96><97>}
139.png@#@<p>Polyps</p> {<1><2><97><97>}
14.png@#@<p>Polyps</p> {<1><6><90><96>}
140.png@#@<p>Polyps</p> {<57><68><93><92>}<delim>{<25><40><41><56>}<delim>{<93><50><98><58>}<delim>{<61><53><79><85>}
141.png@#@<p>Polyps</p> {<53><39><93><89>}<delim>{<2><41><96><97>}
