[detection] Polyps.
1.png@#@<p>Polyps</p> {<1><0><47><99>}<delim>{<35><1><99><99>}
10.png@#@<p>Polyps</p> {<1><1><98><99>}
100.png@#@<p>Polyps</p> {<1><0><100><98>}
101.png@#@<p>Polyps</p> {<0><1><100><99>}
102.png@#@<p>Polyps</p> {<1><0><99><99>}
103.png@#@<p>Polyps</p> {<0><0><100><99>}
104.png@#@<p>Polyps</p> {<1><0><100><98>}<delim>{<1><0><100><98>}
105.png@#@<p>Polyps</p> {<2><36><32><84>}<delim>{<17><29><30><53>}<delim>{<31><28><42><52>}
106.png@#@<p>Polyps</p> {<1><34><32><85>}<delim>{<46><32><98><60>}
107.png@#@<p>Polyps</p> {<10><39><31><82>}<delim>{<12><37><31><61>}<delim>{<15><35><41><62>}
108.png@#@<p>Polyps</p> {<18><42><35><91>}<delim>{<65><12><76><26>}<delim>{<34><40><50><58>}<delim>{<63><49><92><96>}<delim>{<19><48><36><69>}
109.png@#@<p>Polyps</p> {<3><38><32><81>}<delim>{<32><26><50><49>}<delim>{<52><29><73><65>}
11.png@#@<p>Polyps</p> {<1><0><98><100>}
110.png@#@<p>Polyps</p> {<65><23><84><33>}<delim>{<34><45><51><70>}<delim>{<28><47><53><69>}  <p>Polyps</p> {<65><23><84><33>}<delim>{<34><45><51><70>}
111.png@#@<p>Polyps</p> {<2><5><100><98>}<delim>{<0><37><100><65>}
112.png@#@<p>Polyps</p> {<24><38><37><56>}<delim>{<35><13><49><22>}
113.png@#@<p>Polyps</p> {<41><39><90><92>}<delim>{<52><38><90><91>}
114.png@#@<p>Polyps</p> {<43><41><90><92>}<delim>{<1><25><34><35>}<delim>{<40><30><64><44>}
115.png@#@<p>Polyps</p> {<41><39><90><90>}<delim>{<20><67><41><89>}<delim>{<54><44><90><89>}
116.png@#@<p>Polyps</p> {<38><37><92><96>}<delim>{<50><41><92><95>}<delim>{<13><28><38><36>}
117.png@#@<p>Polyps</p> {<42><41><90><91>}<delim>{<0><2><32><23>}
118.png@#@<p>Polyps</p> {<43><42><90><91>}<delim>{<44><43><89><91>}
119.png@#@<p>Polyps</p> {<15><32><67><89>}<delim>{<18><38><40><64>}<delim>{<52><4><64><36>}
12.png@#@<p>Polyps</p> {<1><4><97><100>}
120.png@#@<p>Polyps</p> {<18><30><69><80>}<delim>{<52><15><75><45>}
121.png@#@<p>Polyps</p> {<1><2><98><99>}
122.png@#@<p>Polyps</p> {<1><12><63><82>}
123.png@#@<p>Polyps</p> {<0><1><100><98>}
124.png@#@<p>Polyps</p> {<14><12><46><43>}<delim>{<38><0><47><19>}
125.png@#@<p>Polyps</p> {<12><13><45><44>}<delim>{<27><6><45><40>}
